,Week Ending Date,State,Observed Number,Upper Bound Threshold,Average Expected Count,Excess Lower Estimate,Excess Higher Estimate,Outcome
155,2020-01-04,Alabama,1077.0,1189.0,1092.0,0.0,0.0,All causes
156,2020-01-11,Alabama,1123.0,1184.0,1093.0,0.0,30.0,All causes
157,2020-01-18,Alabama,1038.0,1180.0,1103.0,0.0,0.0,All causes
158,2020-01-25,Alabama,1050.0,1187.0,1113.0,0.0,0.0,All causes
159,2020-02-01,Alabama,1022.0,1185.0,1113.0,0.0,0.0,All causes
160,2020-02-08,Alabama,1121.0,1188.0,1117.0,0.0,4.0,All causes
161,2020-02-15,Alabama,1095.0,1188.0,1110.0,0.0,0.0,All causes
162,2020-02-22,Alabama,1101.0,1179.0,1100.0,0.0,1.0,All causes
163,2020-02-29,Alabama,1165.0,1165.0,1092.0,0.0,73.0,All causes
164,2020-03-07,Alabama,1061.0,1150.0,1080.0,0.0,0.0,All causes
165,2020-03-14,Alabama,1091.0,1141.0,1072.0,0.0,19.0,All causes
166,2020-03-21,Alabama,1058.0,1141.0,1067.0,0.0,0.0,All causes
167,2020-03-28,Alabama,1071.0,1132.0,1058.0,0.0,13.0,All causes
168,2020-04-04,Alabama,1154.0,1115.0,1044.0,39.0,110.0,All causes
169,2020-04-11,Alabama,1137.0,1108.0,1039.0,29.0,98.0,All causes
170,2020-04-18,Alabama,1144.0,1099.0,1031.0,45.0,113.0,All causes
171,2020-04-25,Alabama,1137.0,1097.0,1021.0,40.0,116.0,All causes
172,2020-05-02,Alabama,1142.0,1089.0,1016.0,53.0,126.0,All causes
173,2020-05-09,Alabama,1169.0,1082.0,1010.0,87.0,159.0,All causes
174,2020-05-16,Alabama,1143.0,1079.0,1009.0,64.0,134.0,All causes
175,2020-05-23,Alabama,1152.0,1072.0,1004.0,80.0,148.0,All causes
176,2020-05-30,Alabama,1106.0,1082.0,1006.0,24.0,100.0,All causes
177,2020-06-06,Alabama,1156.0,1066.0,992.0,90.0,164.0,All causes
178,2020-06-13,Alabama,1132.0,1058.0,988.0,74.0,144.0,All causes
179,2020-06-20,Alabama,1089.0,1051.0,982.0,38.0,107.0,All causes
180,2020-06-27,Alabama,1128.0,1046.0,980.0,82.0,148.0,All causes
339,2020-01-04,Alaska,89.0,114.0,93.0,0.0,0.0,All causes
340,2020-01-11,Alaska,105.0,112.0,90.0,0.0,15.0,All causes
341,2020-01-18,Alaska,99.0,115.0,94.0,0.0,5.0,All causes
342,2020-01-25,Alaska,97.0,111.0,90.0,0.0,7.0,All causes
343,2020-02-01,Alaska,85.0,111.0,89.0,0.0,0.0,All causes
344,2020-02-08,Alaska,98.0,108.0,86.0,0.0,12.0,All causes
345,2020-02-15,Alaska,91.0,107.0,85.0,0.0,6.0,All causes
346,2020-02-22,Alaska,85.0,106.0,85.0,0.0,0.0,All causes
347,2020-02-29,Alaska,86.0,109.0,86.0,0.0,0.0,All causes
348,2020-03-07,Alaska,80.0,105.0,85.0,0.0,0.0,All causes
349,2020-03-14,Alaska,95.0,106.0,85.0,0.0,10.0,All causes
350,2020-03-21,Alaska,70.0,108.0,86.0,0.0,0.0,All causes
351,2020-03-28,Alaska,87.0,108.0,86.0,0.0,1.0,All causes
352,2020-04-04,Alaska,100.0,109.0,87.0,0.0,13.0,All causes
353,2020-04-11,Alaska,85.0,108.0,87.0,0.0,0.0,All causes
354,2020-04-18,Alaska,82.0,110.0,88.0,0.0,0.0,All causes
355,2020-04-25,Alaska,63.0,107.0,85.0,0.0,0.0,All causes
356,2020-05-02,Alaska,88.0,106.0,85.0,0.0,3.0,All causes
357,2020-05-09,Alaska,89.0,105.0,83.0,0.0,6.0,All causes
358,2020-05-16,Alaska,84.0,104.0,83.0,0.0,1.0,All causes
359,2020-05-23,Alaska,83.0,103.0,82.0,0.0,1.0,All causes
360,2020-05-30,Alaska,99.0,106.0,84.0,0.0,15.0,All causes
361,2020-06-06,Alaska,78.0,108.0,86.0,0.0,0.0,All causes
362,2020-06-13,Alaska,89.0,105.0,85.0,0.0,4.0,All causes
363,2020-06-20,Alaska,84.0,110.0,88.0,0.0,0.0,All causes
364,2020-06-27,Alaska,81.0,110.0,89.0,0.0,0.0,All causes
523,2020-01-04,Arizona,1299.0,1385.0,1281.0,0.0,18.0,All causes
524,2020-01-11,Arizona,1390.0,1414.0,1306.0,0.0,84.0,All causes
525,2020-01-18,Arizona,1314.0,1418.0,1315.0,0.0,0.0,All causes
526,2020-01-25,Arizona,1275.0,1422.0,1312.0,0.0,0.0,All causes
527,2020-02-01,Arizona,1263.0,1410.0,1301.0,0.0,0.0,All causes
528,2020-02-08,Arizona,1267.0,1400.0,1294.0,0.0,0.0,All causes
529,2020-02-15,Arizona,1317.0,1402.0,1296.0,0.0,21.0,All causes
530,2020-02-22,Arizona,1345.0,1395.0,1290.0,0.0,55.0,All causes
531,2020-02-29,Arizona,1358.0,1404.0,1296.0,0.0,62.0,All causes
532,2020-03-07,Arizona,1383.0,1410.0,1301.0,0.0,82.0,All causes
533,2020-03-14,Arizona,1355.0,1411.0,1301.0,0.0,54.0,All causes
534,2020-03-21,Arizona,1294.0,1405.0,1296.0,0.0,0.0,All causes
535,2020-03-28,Arizona,1328.0,1389.0,1290.0,0.0,38.0,All causes
536,2020-04-04,Arizona,1361.0,1375.0,1271.0,0.0,90.0,All causes
537,2020-04-11,Arizona,1408.0,1361.0,1258.0,47.0,150.0,All causes
538,2020-04-18,Arizona,1318.0,1349.0,1247.0,0.0,71.0,All causes
539,2020-04-25,Arizona,1388.0,1332.0,1234.0,56.0,154.0,All causes
540,2020-05-02,Arizona,1403.0,1298.0,1206.0,105.0,197.0,All causes
541,2020-05-09,Arizona,1431.0,1294.0,1195.0,137.0,236.0,All causes
542,2020-05-16,Arizona,1308.0,1284.0,1183.0,24.0,125.0,All causes
543,2020-05-23,Arizona,1293.0,1274.0,1172.0,19.0,121.0,All causes
544,2020-05-30,Arizona,1321.0,1271.0,1171.0,50.0,150.0,All causes
545,2020-06-06,Arizona,1419.0,1257.0,1163.0,162.0,256.0,All causes
546,2020-06-13,Arizona,1483.0,1266.0,1165.0,217.0,318.0,All causes
547,2020-06-20,Arizona,1574.0,1271.0,1170.0,303.0,404.0,All causes
548,2020-06-27,Arizona,1635.0,1272.0,1168.0,363.0,467.0,All causes
707,2020-01-04,Arkansas,673.0,750.0,684.0,0.0,0.0,All causes
708,2020-01-11,Arkansas,685.0,746.0,680.0,0.0,5.0,All causes
709,2020-01-18,Arkansas,657.0,734.0,670.0,0.0,0.0,All causes
710,2020-01-25,Arkansas,617.0,725.0,663.0,0.0,0.0,All causes
711,2020-02-01,Arkansas,678.0,730.0,666.0,0.0,12.0,All causes
712,2020-02-08,Arkansas,678.0,728.0,663.0,0.0,15.0,All causes
713,2020-02-15,Arkansas,694.0,731.0,667.0,0.0,27.0,All causes
714,2020-02-22,Arkansas,702.0,727.0,666.0,0.0,36.0,All causes
715,2020-02-29,Arkansas,662.0,723.0,662.0,0.0,0.0,All causes
716,2020-03-07,Arkansas,702.0,718.0,656.0,0.0,46.0,All causes
717,2020-03-14,Arkansas,632.0,708.0,645.0,0.0,0.0,All causes
718,2020-03-21,Arkansas,640.0,710.0,646.0,0.0,0.0,All causes
719,2020-03-28,Arkansas,646.0,699.0,639.0,0.0,7.0,All causes
720,2020-04-04,Arkansas,611.0,690.0,631.0,0.0,0.0,All causes
721,2020-04-11,Arkansas,641.0,685.0,624.0,0.0,17.0,All causes
722,2020-04-18,Arkansas,641.0,680.0,619.0,0.0,22.0,All causes
723,2020-04-25,Arkansas,617.0,673.0,611.0,0.0,6.0,All causes
724,2020-05-02,Arkansas,631.0,663.0,604.0,0.0,27.0,All causes
725,2020-05-09,Arkansas,665.0,664.0,606.0,1.0,59.0,All causes
726,2020-05-16,Arkansas,586.0,662.0,602.0,0.0,0.0,All causes
727,2020-05-23,Arkansas,644.0,657.0,598.0,0.0,46.0,All causes
728,2020-05-30,Arkansas,616.0,661.0,600.0,0.0,16.0,All causes
729,2020-06-06,Arkansas,651.0,653.0,595.0,0.0,56.0,All causes
730,2020-06-13,Arkansas,655.0,647.0,588.0,8.0,67.0,All causes
731,2020-06-20,Arkansas,710.0,648.0,589.0,62.0,121.0,All causes
732,2020-06-27,Arkansas,666.0,652.0,591.0,14.0,75.0,All causes
891,2020-01-04,California,5884.0,6248.0,5875.0,0.0,9.0,All causes
892,2020-01-11,California,5868.0,6261.0,5902.0,0.0,0.0,All causes
893,2020-01-18,California,5826.0,6255.0,5905.0,0.0,0.0,All causes
894,2020-01-25,California,5826.0,6202.0,5847.0,0.0,0.0,All causes
895,2020-02-01,California,5679.0,6124.0,5760.0,0.0,0.0,All causes
896,2020-02-08,California,5929.0,6087.0,5726.0,0.0,203.0,All causes
897,2020-02-15,California,5599.0,6083.0,5723.0,0.0,0.0,All causes
898,2020-02-22,California,5815.0,6047.0,5710.0,0.0,105.0,All causes
899,2020-02-29,California,5697.0,6026.0,5690.0,0.0,7.0,All causes
900,2020-03-07,California,5745.0,6019.0,5678.0,0.0,67.0,All causes
901,2020-03-14,California,5475.0,5953.0,5605.0,0.0,0.0,All causes
902,2020-03-21,California,5690.0,5866.0,5533.0,0.0,157.0,All causes
903,2020-03-28,California,5706.0,5751.0,5430.0,0.0,276.0,All causes
904,2020-04-04,California,5994.0,5654.0,5347.0,340.0,647.0,All causes
905,2020-04-11,California,6061.0,5590.0,5265.0,471.0,796.0,All causes
906,2020-04-18,California,6147.0,5542.0,5209.0,605.0,938.0,All causes
907,2020-04-25,California,5950.0,5477.0,5163.0,473.0,787.0,All causes
908,2020-05-02,California,5753.0,5415.0,5104.0,338.0,649.0,All causes
909,2020-05-09,California,5681.0,5371.0,5071.0,310.0,610.0,All causes
910,2020-05-16,California,5698.0,5362.0,5043.0,336.0,655.0,All causes
911,2020-05-23,California,5546.0,5355.0,5027.0,191.0,519.0,All causes
912,2020-05-30,California,5600.0,5298.0,4991.0,302.0,609.0,All causes
913,2020-06-06,California,5529.0,5294.0,4981.0,235.0,548.0,All causes
914,2020-06-13,California,5565.0,5273.0,4975.0,292.0,590.0,All causes
915,2020-06-20,California,5466.0,5282.0,4962.0,184.0,504.0,All causes
916,2020-06-27,California,5670.0,5258.0,4928.0,412.0,742.0,All causes
1075,2020-01-04,Colorado,854.0,895.0,831.0,0.0,23.0,All causes
1076,2020-01-11,Colorado,873.0,896.0,835.0,0.0,38.0,All causes
